"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Costa Rica","CRI","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","73.8300018310547","73.9700012207031","73.1900024414063","72.8899993896484","69.9199981689453","75.4100036621094","72.9400024414063","69.8899993896484","68.2900009155273","66.75","68.6399993896484","66.5199966430664","69.0599975585938","70.0800018310547","71.5500030517578","72.2600021362305","75.0199966430664","76.0800018310547","75.8300018310547","77.379997253418","77.4100036621094","78.5999984741211","80.629997253418","81.0599975585938","82.6999969482422","82.4599990844727","82.5","81.620002746582","82.4899978637695","","83.0699996948242","84.1500015258789","84.5699996948242","85.1100006103516","86.2099990844727","86.0500030517578","86.5899963378906",
"Caribbean small states","CSS","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8778394504417","78.125990549464","77.6697378507154","78.4027989613048","79.1863711417054","79.3676752308785","81.9770285250959","83.8085126214122","","83.9076280139814","82.4013624708882","84.2717233075436","84.4977138280864","85.6158702583098","","","","","","","","","","","",
"Cuba","CUB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.5999984741211","70.5999984741211","70.5999984741211","71.8499984741211","71.8899993896484","71.8899993896484","75.0999984741211","75.0999984741211","75.0999984741211","75.9700012207031","77.4300003051758","77.8199996948242","79.0800018310547","79.6100006103516","79.7699966430664","79.629997253418","79.2600021362305","78.620002746582","81","81.2200012207031","","",
"Curacao","CUW","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8199996948242","","","","","","","","","","","","","","95.6600036621094","95.4700012207031","93.0800018310547","94.2300033569336","94.6600036621094","96.370002746582","95.0100021362305","94.4000015258789","97.6999969482422","95.8399963378906","97.2600021362305","",
"Cyprus","CYP","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","40.1500015258789","42.4700012207031","41.3400001525879","41.7799987792969","43.0400009155273","44.4000015258789","46.2299995422363","48.1599998474121","49.5","51.6399993896484","53.2999992370605","54.2000007629395","55.560001373291","56.9199981689453","58.7900009155273","60.6300010681152","63.0699996948242","66.5999984741211","70.0199966430664","71.1900024414063","","","","","82.2099990844727","83.5","83.6100006103516","84.7399978637695","85.2799987792969","85.9300003051758","86.8499984741211","87.9400024414063","87.5800018310547","87.3199996948242","88.0800018310547","88.9499969482422","89.5299987792969","90.7399978637695","90.6100006103516","91.3600006103516","",
"Czech Republic","CZE","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1300010681152","62.7299995422363","63.6399993896484","64.7799987792969","66.2900009155273","66.8000030517578","68","68.879997253418","68.1999969482422","68.629997253418","69.4800033569336","70","70.6800003051758","70.1800003051758","70.6600036621094","70.9700012207031","73.7399978637695","74.879997253418","74.2200012207031","74.7300033569336","75.0199966430664","74.7600021362305","74.6100006103516","",
"Germany","DEU","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","67.4499969482422","68.2300033569336","68.1399993896484","69","69.4599990844727","69.370002746582","70.7300033569336","70.7200012207031","69.9300003051758","72.7399978637695","74.5599975585938","75.8399963378906","76.7300033569336","77.9400024414063","78.5400009155273","78.75","79.129997253418","79.5699996948242","80.0199966430664","80.4000015258789","81.2200012207031","81.2799987792969","82.1999969482422","82.3399963378906","82.3899993896484","83.629997253418","84.1500015258789","84.4599990844727","84.5599975585938","84.6900024414063","84.9300003051758","84.7799987792969","85.1500015258789","",
"Djibouti","DJI","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.5499992370605","","71","","","","","","71.879997253418","","71.9499969482422","","81.5899963378906","","","","","","","","","","","","","","","",
"Denmark","DNK","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","72.4700012207031","73.1999969482422","74.8399963378906","75.6600036621094","75.9100036621094","76.9300003051758","76.8399963378906","77.1600036621094","","80.2099990844727","","79.8899993896484","81.1500015258789","80.6100006103516","78.6900024414063","78.5500030517578","80.7300033569336","80.5500030517578","80.8000030517578","79.9000015258789","81.4899978637695","82.4499969482422","82.0299987792969","82.3600006103516","82.6699981689453","83.4199981689453","83.2900009155273","82.7699966430664","84.4000015258789","83.7600021362305","85.8099975585938","86.4400024414063","85.9499969482422","85.870002746582","86.75","85.6900024414063","86.6600036621094","88.7900009155273","89.870002746582","89.7099990844727","89.3499984741211","89.6699981689453","89.5800018310547","89.0500030517578","88.6699981689453",
"Dominican Republic","DOM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.6699981689453","75.4800033569336","75.1399993896484","76.4899978637695","77.8499984741211","75.5699996948242","76.7600021362305","75.4000015258789","76.7699966430664","77.4199981689453","81.3300018310547","82.7399978637695","83.0299987792969","78.4100036621094","78.1100006103516","83.8099975585938","84.25","","88.4300003051758","87.6900024414063","87.9000015258789","87.0599975585938","89.0899963378906","87.6999969482422","88.2300033569336","89.1100006103516",
"Algeria","DZA","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1699981689453","","63.75","49.4799995422363","","","","","","","","","69.0100021362305","11.6700000762939","","",
"East Asia & Pacific (excluding high income)","EAP","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1476323019412","","","","","39.9578650916265","","","","","","",
"East Asia & Pacific","EAS","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2237677665783","55.9619215069757","56.7342941681838","58.0361029132692","59.2949778662521","60.2040994569018","61.9140722422277","63.2486569040889","64.622225236309","65.8680332136491","65.919809399866","67.1850080209896","67.4750035892906","67.8455537660918","68.2435253842911","69.6862854993966","70.8170742701647","",
"Europe & Central Asia","ECS","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.868836899859","71.1353471935603","70.1116208432595","70.501732821583","70.7743310754081","71.5571636031472","72.6722600363933","73.2692437001373","74.3501205449482","75.1655273766844","75.9102185617157","76.7639765196638","76.4679749125732","77.4593098983755","77.5384962935601","77.7493078624109","78.0705556324432","78.9691449453524","79.3741219189619","",
"Ecuador","ECU","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.9800033569336","81.3300018310547","81.0199966430664","80.9800033569336","82.5999984741211","83.1900024414063","84.0899963378906","82.6600036621094","84.0100021362305","82.5899963378906","80.6399993896484","79.1100006103516","81.1399993896484","","81.1500015258789","83.629997253418","83.0800018310547","","","","","68.0699996948242","67.9899978637695","67.4599990844727","67.870002746582","68.5199966430664","",
